iter	Logloss
0	0.6837040732
1	0.6743465147
2	0.6653523404
3	0.656229299
4	0.6473151985
5	0.6387495426
6	0.6303613149
7	0.622050226
8	0.6138777526
9	0.6058758114
10	0.5979241828
11	0.590095885
12	0.5825843439
13	0.5753400147
14	0.5680523274
15	0.5609289325
16	0.5537339594
17	0.5468401473
18	0.5400758527
19	0.5335300067
20	0.5268705144
21	0.5204822766
22	0.5141613704
23	0.5078185811
24	0.5016464844
25	0.4956369128
26	0.4897446273
27	0.4837816235
28	0.4779351377
29	0.4722514065
30	0.4666060193
31	0.4611566219
32	0.4556643583
33	0.4502838964
34	0.4450228609
35	0.4397655429
36	0.4347481109
37	0.429617201
38	0.4245749491
39	0.4196307189
40	0.4147592421
41	0.4100644871
42	0.4053777529
43	0.4008232147
44	0.3964264445
45	0.3919770537
46	0.3876291992
47	0.3833805157
48	0.3791333419
49	0.3749756309
